"airport_name","city","country","IATA","ICAO","region"
"Goroka","Goroka","Papua New Guinea","GKA","AYGA","Pacific/Port_Moresby"
"Madang","Madang","Papua New Guinea","MAG","AYMD","Pacific/Port_Moresby"
"Mount Hagen","Mount Hagen","Papua New Guinea","HGU","AYMH","Pacific/Port_Moresby"
"Nadzab","Nadzab","Papua New Guinea","LAE","AYNZ","Pacific/Port_Moresby"
"Port Moresby Jacksons Intl","Port Moresby","Papua New Guinea","POM","AYPY","Pacific/Port_Moresby"
"Wewak Intl","Wewak","Papua New Guinea","WWK","AYWK","Pacific/Port_Moresby"
"Narsarsuaq","Narssarssuaq","Greenland","UAK","BGBW","America/Godthab"
"Nuuk","Godthaab","Greenland","GOH","BGGH","America/Godthab"
"Sondre Stromfjord","Sondrestrom","Greenland","SFJ","BGSF","America/Godthab"
"Thule Air Base","Thule","Greenland","THU","BGTL","America/Thule"
"Akureyri","Akureyri","Iceland","AEY","BIAR","Atlantic/Reykjavik"
"Egilsstadir","Egilsstadir","Iceland","EGS","BIEG","Atlantic/Reykjavik"
"Hornafjordur","Hofn","Iceland","HFN","BIHN","Atlantic/Reykjavik"
"Husavik","Husavik","Iceland","HZK","BIHU","Atlantic/Reykjavik"
"Isafjordur","Isafjordur","Iceland","IFJ","BIIS","Atlantic/Reykjavik"
"Keflavik International Airport","Keflavik","Iceland","KEF","BIKF","Atlantic/Reykjavik"
"Patreksfjordur","Patreksfjordur","Iceland","PFJ","BIPA","Atlantic/Reykjavik"
"Reykjavik","Reykjavik","Iceland","RKV","BIRK","Atlantic/Reykjavik"
"Siglufjordur","Siglufjordur","Iceland","SIJ","BISI","Atlantic/Reykjavik"
"Vestmannaeyjar","Vestmannaeyjar","Iceland","VEY","BIVM","Atlantic/Reykjavik"
"Sault Ste Marie","Sault Sainte Marie","Canada","YAM","CYAM","America/Toronto"
"Winnipeg St Andrews","Winnipeg","Canada","YAV","CYAV","America/Winnipeg"
"Shearwater","Halifax","Canada","YAW","CYAW","America/Halifax"
"St Anthony","St. Anthony","Canada","YAY","CYAY","America/St_Johns"
"Tofino","Tofino","Canada","YAZ","CYAZ","America/Vancouver"
"Kugaaruk","Pelly Bay","Canada","YBB","CYBB","America/Edmonton"
"Baie Comeau","Baie Comeau","Canada","YBC","CYBC","America/Toronto"
"Bagotville","Bagotville","Canada","YBG","CYBG","America/Toronto"
"Baker Lake","Baker Lake","Canada","YBK","CYBK","America/Winnipeg"
"Campbell River","Campbell River","Canada","YBL","CYBL","America/Vancouver"
"Brandon Muni","Brandon","Canada","YBR","CYBR","America/Winnipeg"
"Cambridge Bay","Cambridge Bay","Canada","YCB","CYCB","America/Edmonton"
"Nanaimo","Nanaimo","Canada","YCD","CYCD","America/Vancouver"
"Castlegar","Castlegar","Canada","YCG","CYCG","America/Vancouver"
"Miramichi","Chatham","Canada","YCH","CYCH","America/Halifax"
"Charlo","Charlo","Canada","YCL","CYCL","America/Halifax"
"Kugluktuk","Coppermine","Canada","YCO","CYCO","America/Edmonton"
"Coronation","Coronation","Canada","YCT","CYCT","America/Edmonton"
"Chilliwack","Chilliwack","Canada","YCW","CYCW","America/Vancouver"
"Clyde River","Clyde River","Canada","YCY","CYCY","America/Toronto"
"Fairmont Hot Springs","Coral Harbour","Canada","YZS","CYCZ","America/Coral_Harbour"
"Dawson City","Dawson","Canada","YDA","CYDA","America/Vancouver"
"Burwash","Burwash","Canada","YDB","CYDB","America/Vancouver"
"Princeton","Princeton","Canada","YDC","CYDC","America/Vancouver"
"Deer Lake","Deer Lake","Canada","YDF","CYDF","America/St_Johns"
"Dease Lake","Dease Lake","Canada","YDL","CYDL","America/Vancouver"
"Dauphin Barker","Dauphin","Canada","YDN","CYDN","America/Winnipeg"
"Dawson Creek","Dawson Creek","Canada","YDQ","CYDQ","America/Dawson_Creek"
"Edmonton Intl","Edmonton","Canada","YEG","CYEG","America/Edmonton"
"Arviat","Eskimo Point","Canada","YEK","CYEK","America/Winnipeg"
"Estevan","Estevan","Canada","YEN","CYEN","America/Regina"
"Edson","Edson","Canada","YET","CYET","America/Edmonton"
"Eureka","Eureka","Canada","YEU","CYEU","America/Winnipeg"
"Inuvik Mike Zubko","Inuvik","Canada","YEV","CYEV","America/Edmonton"
"Iqaluit","Iqaluit","Canada","YFB","CYFB","America/Toronto"
"Fredericton","Fredericton","Canada","YFC","CYFC","America/Halifax"
"Forestville","Forestville","Canada",NA,"CYFE","America/Toronto"
"Flin Flon","Flin Flon","Canada","YFO","CYFO","America/Winnipeg"
"Fort Resolution","Fort Resolution","Canada","YFR","CYFR","America/Edmonton"
"Fort Simpson","Fort Simpson","Canada","YFS","CYFS","America/Edmonton"
"Kingston","Kingston","Canada","YGK","CYGK","America/Toronto"
"La Grande Riviere","La Grande Riviere","Canada","YGL","CYGL","America/Toronto"
"Gaspe","Gaspe","Canada","YGP","CYGP","America/Toronto"
"Geraldton Greenstone Regional","Geraldton","Canada","YGQ","CYGQ","America/Toronto"
"Iles De La Madeleine","Iles De La Madeleine","Canada","YGR","CYGR","America/Toronto"
"Hudson Bay","Hudson Bay","Canada","YHB","CYHB","America/Regina"
"Dryden Rgnl","Dryden","Canada","YHD","CYHD","America/Winnipeg"
"Ulukhaktok Holman","Holman Island","Canada","YHI","CYHI","America/Edmonton"
"Gjoa Haven","Gjoa Haven","Canada","YHK","CYHK","America/Edmonton"
"Hamilton","Hamilton","Canada","YHM","CYHM","America/Toronto"
"St Hubert","Montreal","Canada","YHU","CYHU","America/Toronto"
"Hay River","Hay River","Canada","YHY","CYHY","America/Edmonton"
"Halifax Intl","Halifax","Canada","YHZ","CYHZ","America/Halifax"
